ScientificName,VernacularName
Carex otrubae,False Fox-sedge
Epistrophe ochrostoma,Epistrophe+ochrostoma
Campanula rapunculus,Rampion Bellflower
Zapornia parva,Little Crake
Ulota bruchii,Bruch’s Pincushion
Robinia pseudoacacia,False-acacia
Pyrgus carthami,Safflower Skipper
Schoenoplectus tabernaemontani,Grey Club rush
Melilotus officinalis,Ribbed Melilot
Arabidopsis arenosa,Sand Rock cress
Carex pallescens,Carex+pallescens
Lestes virens,Small Spreadwing
Dactylorhiza fuchsii + Dactylorhiza maculata,Dactylorhiza+fuchsii+++Dactylorhiza+maculata
Galium schultesii,Galium+schultesii
Carex pilosa,Carex+pilosa
Androsace septentrionalis,Pygmyflower rock jasmine
Gratiola officinalis,Gratiola
Gentianopsis ciliata,Fringed Gentian
Rhynchospora alba,White Beak-sedge
Carex acuta,Slender Tufted-sedge
Carex brizoides,Quaking grass Sedge
Pyrola minor,Common Wintergreen
Artemisia campestris subsp. campestris,Field Wormwood
Eupithecia innotata,Angle-barred Pug
Larix decidua,European larch
Liparis loeselii,Fen Orchid
Lathyrus tuberosus,Tuberous Pea
Cerastium arvense,Field Mouse-ear
Costaconvexa polygrammata,Many-lined Moth
Eriophorum angustifolium,Common Cottongrass
Cheilosia flavipes,Cheilosia+flavipes
Festuca altissima,Wood Fescue
Tetrix bipunctata,Two-spotted Groundhopper
Centrotus cornutus,Thorn-hopper
Drosera anglica,Great Sundew
Ceratodon purpureus,Fire moss
Cicindela campestris,Green Tiger Beetle
Bryum capillare,Capillary bryum
Eupithecia spec.,Eupithecia+spec.
Utricularia vulgaris,Utricularia+vulgaris
Deschampsia cespitosa,Tufted Hair-grass
Quercus petraea,Sessile Oak
Dianthus hyssopifolius,Dianthus+hyssopifolius
Carex caryophyllea,Spring-sedge
Idaea dimidiata,Single-dotted Wave
Aristolochia clematitis,Birthwort
Chaerophyllum temulum,Rough chervil
Viola riviniana,Common Dog-violet
Eupithecia virgaureata,Golden-rod Pug
Orthosia gothica,Hebrew Character
Eupithecia satyrata,Satyr Pug
Senecio vernalis,Spring Groundsel
Chalcophora mariana,Chalcophora+mariana
Scrophularia nodosa,Common Figwort
Eupithecia exiguata,Mottled Pug
Anasimyia lunulata,Anasimyia+lunulata
Cladium mariscus,Great Fen-sedge
Clematis recta,Upright clematis
Cerura vinula,Puss Moth
Lomographa temerata,Clouded Silver
Scopula ornata,Lace Border
Anacamptis palustris,Bog Orchid
Juncus compressus,Round-fruited Rush
Necrodes littoralis,Necrodes+littoralis
Cheilosia pubera,Cheilosia+pubera
Hyperoodon ampullatus,North Atlantic Bottlenose Whale
Phleum alpinum subsp. rhaeticum,Phleum+alpinum+subsp.+rhaeticum
Pontia daplidice/edusa,Bath White
Phallus impudicus var. impudicus,Phallus+impudicus+var.+impudicus
Cladonia ciliata,Delicate clad lichen
Prunus serotina,Rum Cherry
Chrysotoxum festivum,Hook-banded Wasp Hoverfly
Monochamus galloprovincialis,Monochamus+galloprovincialis
Anas acuta,Northern Pintail
Polyphylla fullo,Pine Chafer
Drepana curvatula,Dusky Hook-tip
Rumex alpestris,Rumex+alpestris
Leucodon sciuroides,Squirrel-tail moss
Scleranthus annuus subsp. annuus,Annual Knawel
Cheilosia impressa,Cheilosia+impressa
Utricularia minor,Lesser bladderwort
Dipsacus spec.,Dipsacus+spec.
Chrysotoxum vernale,Chrysotoxum+vernale
Chlorophorus varius,Chlorophorus+varius
Scleranthus annuus subsp. polycarpos,Scleranthus+annuus+subsp.+polycarpos
Asio otus,Long-eared Owl
Dactylorhiza incarnata var. incarnata,Dactylorhiza+incarnata+var.+incarnata
Lecanora spec.,Lecanora+spec.
Lecanora campestris,Field rim-lichen
Calliergonella cuspidata,Common large wetland moss
Selenia dentaria,Early Thorn
Rhagio scolopaceus,Rhagio+scolopaceus
Tachina fera/magnicornis,Tachina+fera
Muntiacus spec.,Muntiacus+spec.
Ranunculus ficaria,Ranunculus+ficaria
Pseudoscleropodium purum,Neat Feathermoss
Aquilegia vulgaris,Columbine
Aeshna subarctica elisabethae,Bog Hawker (ssp. elisabethae)
Picromerus bidens,Spiked Shieldbug
Empis tessellata,Empis+tessellata
Potentilla reptans,Creeping cinquefoil
Dicranum scoparium,Broom fork-moss
Viola stagnina,Fen Violet
Rhynchostegium confertum,Clustered Feathermoss
Polytrichum juniperinum,Juniper haircap moss
Rorippa sylvestris,Creeping Yellow cress
Orthotrichum anomalum,Anomalous bristle moss
Cladonia ramulosa,Branched pixie-cup lichen
Cheilosia albitarsis,Cheilosia+albitarsis
Passer montanus montanus,Eurasian Tree Sparrow ssp montanus
Microtus oeconomus,Root Vole
Matricaria spec.,Matricaria+spec.
Myrmica rubra,Myrmica+rubra
Setaria viridis,Green Bristle Grass
Aythya nyroca,Ferruginous Duck
Verbascum phoeniceum subsp. phoeniceum,Verbascum+phoeniceum+subsp.+phoeniceum
Dryopteris dilatata,Broad Buckler fern
Oxyria digyna,Mountain Sorrel
Aeshna affinis,Southern Migrant Hawker
Tethea ocularis,Figure of Eighty
Chrysolina polita,Knotgrass Leaf Beetle
Parhelophilus spec.,Parhelophilus+spec.
Acrocephalus scirpaceus,Common Reed Warbler
Ferdinandea cuprea,Ferdinandea+cuprea
Adalia conglomerata,Adalia+conglomerata
Tolmerus atricapillus,Kite-tailed Robberfly
Coremacera marginata,Sieve-winged Snailkiller
Malachius bipustulatus,Malachius+bipustulatus
Micropterix calthella,Micropterix+calthella
Gomphus pulchellus,Western Clubtail
Salix spec.,Salix+spec.
Sparassis crispa,Sparassis+crispa
Leucanthemopsis alpina,Alpine moon daisy
Pollenia spec.,Pollenia+spec.
Viviparus contectus,Lister's River Snail
Lycium barbarum,Duke of Argyll's Teaplant
Larus argentatus argentatus,Scandinavian Herring Gull
Berberis vulgaris,Common barberry
Leersia oryzoides,Cut grass
Tenthredo scrophulariae,Tenthredo+scrophulariae
Bombus vestalis,Vestal Cuckoo Bee
Sospita vigintiguttata,Sospita+vigintiguttata
Anagallis arvensis subsp. arvensis,Scarlet Pimpernel
Sisymbrium loeselii,False London rocket
Erodium cicutarium subsp. cicutarium,Erodium+cicutarium+subsp.+cicutarium
Andricus foecundatrix,Andricus+foecundatrix
Ostrinia nubilalis,European corn borer
Graphis scripta,Graphis+scripta
Morchella elata,Morchella+elata
Anthemis arvensis,Corn chamomile
Lamia textor,Lamia+textor
Physconia grisea,Physconia+grisea
Fabriciana niobe,Niobe Fritillary
Spilomyia spec.,Spilomyia+spec.
Eristalis anthophorina,Eristalis+anthophorina
Viola mirabilis,Wonder violet
Calogaya pusilla,Calogaya+pusilla
Pyrola chlorantha,Green flower wintergreen
Carex acutiformis,Lesser Pond-sedge
Silene borysthenica,Silene+borysthenica
Candelariella reflexa,Candelariella+reflexa
Pseudochorthippus spec.,Pseudochorthippus+spec.
Rhyparia purpurata,Purple Tiger
Bartsia alpina,Alpine Bartsia
Melitaea (Mellicta) spec.,Melitaea+(Mellicta)+spec.
Syringa vulgaris,Common lilac
Physcia caesia,Blue-gray rosette lichen
Cosmos bipinnatus,Purple Mexican Aster
Moma alpium,Scarce Merveille du Jour
Neuroterus quercusbaccarum,Common Spangle Gall Wasp
Carlina biebersteinii,Carlina+biebersteinii
Carex distans,Distant sedge
Cerastoderma edule,Common Cockle
Carex umbrosa,Carex+umbrosa
Carex colchica,Carex+colchica
Scutellaria columnae,Large Skullcap
Cephalanthera rubra,Red Helleborine
Carex hartmanii,Carex+hartmanii
Carex pseudocyperus,Cyperus Sedge
Phallus impudicus,Common Stinkhorn
Alopecurus myosuroides,Black-grass
Cynoglossum officinale,Hound's-tongue
Chaerophyllum bulbosum,Bulbous Chervil
Chrysosplenium spec.,Chrysosplenium+spec.
Stellaria aquatica,Water Chickweed
Cuscuta europaea,Greater dodder
Argynnis paphia f. valesina,Argynnis+paphia+f.+valesina
Hydria undulata,Scallop shell moth
Blysmus compressus,Broad Blysmus
Hypochaeris maculata,Spotted Cat's-ear
Lentinus tigrinus,Lentinus+tigrinus
Leymus arenarius,Lyme-grass
Limax maximus,Leopard Slug
Boloria aquilonaris,Cranberry Fritillary
Ischnura pumilio,Small Bluetail
Cytisus scoparius,Scotch broom
Campanula rotundifolia,Harebell
Sempervivum montanum,Mountain House-leek
Bombus terrestris,Buff-tailed Bumblebee
Gobio gobio,Gudgeon
Omocestus viridulus viridulus,Omocestus+viridulus+viridulus
Vicia grandiflora,Large flowered Vetch
Phalacrocorax carbo sinensis,Great Cormorant ssp sinensis
Prunus mahaleb,Saint Lucie Cherry
Camelina sativa,False Flax
Silene armeria,Sweet-William Catchfly
Salix babylonica,Weeping Willow
Arctium lappa,Greater burdock
Helictochloa pratensis,Meadow Oat-grass
Juncus trifidus,Three leaved Rush
Polygala comosa,Tufted Milkwort
Viola elatior,Viola+elatior
Polistes nimpha,Polistes+nimpha
Eupithecia subumbrata,Shaded Pug
Eleocharis palustris,Eleocharis+palustris
Plectrophenax nivalis,Snow Bunting
Pholidoptera aptera,Pholidoptera+aptera
Columba oenas,Stock Dove
Apera spica-venti,Loose Silky bent
Aphidecta obliterata,Larch Ladybird
Racomitrium spec.,Racomitrium+spec.
Hypnum cupressiforme,Hypnum+cupressiforme
Ophioglossum vulgatum,Adder's-tongue
Armeria maritima subsp. elongata,Tall Thrift
Arnica montana,Mountain arnica
Ranunculus circinatus,Water crowfoot
Cleora cinctaria,Ringed Carpet
Chimaphila umbellata,Pipsissewa
Anisantha tectorum,Drooping Brome
Lanius senator,Woodchat Shrike
Euonymus verrucosus,Euonymus+verrucosus
Anacamptis palustris subsp. palustris,Anacamptis+palustris+subsp.+palustris
Tortula muralis,Tortula+muralis
Allium vineale,Wild Onion
Somatochlora arctica,Northern Emerald
Carex dioica,Dioecious Sedge
Polytrichum piliferum,Bristly haircap moss
Sparganium natans,Least Bur reed
Agrotera nemoralis,Agrotera+nemoralis
Lestes virens vestalis,Small Spreadwing (ssp. vestalis)
Aethalura punctulata,Grey Birch
Ajuga genevensis,Blue bugle
Dicranella heteromalla,Silky forklet moss
Carex arenaria,Sand sedge
Orthotrichum diaphanum,White-tipped Bristlemoss
Hedychrum rutilans,Hedychrum+rutilans
Anasimyia transfuga,Anasimyia+transfuga
Crepis paludosa,Marsh Hawk's-beard
Angerona prunaria,Orange Moth
Leucobryum glaucum,White pincushion moss
Cladonia fimbriata,Trumpet lichen
Leptoglossus occidentalis,Western conifer seed bug (WCSB)
Criorhina floccosa,Criorhina+floccosa
Galium mollugo subsp. erectum,Galium+mollugo+subsp.+erectum
Anticollix sparsata,Dentated Pug
Galeopsis spec.,Galeopsis+spec.
Melanogaster aerosa,Melanogaster+aerosa
Senecio inaequidens,Narrow-leaved Ragwort
Elasmucha grisea,Parent Bug
Oedemera lurida/virescens,Oedemera+lurida
Chrysotoxum cautum,Large Wasp Hoverfly
Dactylorhiza praetermissa subsp. junialis,Common Marsh Orchid
Corispermum pallasii,Hyssop leaved Tickseed
Colletes fodiens,Hairy-saddled Colletes
Lunaria rediviva,Perennial honesty
Allium spec.,Allium+spec.
Coturnix coturnix,Common Quail
Cardamine heptaphylla,Pinnate Coralroot
Lonicera xylosteum,Fly Honeysuckle
Abies alba,European silver fir
Alisma plantago-aquatica,Water-plantain
Tropinota hirta,Tropinota+hirta
Stropharia rugosoannulata,Stropharia+rugosoannulata
Micromys minutus,Eurasian Harvest Mouse
Trifolium alpestre,Purple globe clover
Solanum nigrum,Black nightshade
Sericomyia superbiens,Sericomyia+superbiens
Musca autumnalis,Face Fly
Primula elatior subsp. elatior,Primula+elatior+subsp.+elatior
Abraxas grossulariata,Magpie
Stigmella tityrella,Stigmella+tityrella
Pyrochroa spec.,Pyrochroa+spec.
Solidago canadensis + Solidago gigantea,Solidago+canadensis+++Solidago+gigantea
Cordulia spec.,Cordulia+spec.
Philaenus spumarius,Common froghopper
Nicrophorus vespillo,Common Burying Beetle
Corvus cornix cornix,Hooded Crow ssp cornix
Coelioxys alatus,Coelioxys+alatus
Potentilla verna,Spring Cinquefoil
Centaurea triumfettii,Centaurea+triumfettii
Plagiomnium undulatum,Hart’s-tongue Thyme-moss
Stachys germanica,Downy Woundwort
Rhodiola spec.,Rhodiola+spec.
Petasites albus,White Butterbur
Asplenium septentrionale,Forked spleenwort
Artemisia campestris,Field sagewort
Chrysomela saliceti,Chrysomela+saliceti
Lamium album,White Dead-nettle
Verrucaria nigrescens,Dark brown speck lichen
Equisetum hyemale,Rough Horsetail
Boloria eunomia,Bog Fritillary
Thuidium abietinum,Fir tamarisk-moss
Formica rufa,Formica+rufa
Hippophae rhamnoides,Sea buckthorn
Dasypoda hirtipes/morawitzi,Pantaloon Bee
Melanelixia fuliginosa + glabratula,Melanelixia+fuliginosa+++glabratula
Erigeron annuus subsp. septentrionalis,Erigeron+annuus+subsp.+septentrionalis
Hieracium spec.,Hieracium+spec.
Polistes dominula/nimpha/foederatus/gallicus/mongolicus,European Paper Wasp
Picus canus x Picus viridis,Picus+canus+x+Picus+viridis
Ranunculus spec.,Ranunculus+spec.
Aricia artaxerxes,Northern Brown Argus
Stachys recta,Yellow Woundwort
Carex montana,Soft leaved Sedge
Zeuzera pyrina,Leopard Moth
Neottia cordata,Lesser Twayblade
Neckera complanata,Flat Neckera
Homalothecium sericeum,Silky Wall Feathermoss
Hierochloe hirta,Hierochloe+hirta
Troilus luridus,Bronze Shieldbug
Carex curvata,Carex+curvata
Trifolium repens,White clover
Tetraphis pellucida,Common four-toothed moss
Astragalus danicus,Purple Milk vetch
Athripsodes albifrons,Athripsodes+albifrons
Digitalis lutea,Straw foxglove
Danthonia decumbens,Heath-grass
Staphylinus caesareus,Staphylinus+caesareus
Monotropa spec.,Monotropa+spec.
Rusavskia elegans,Elegant sunburst lichen
Hypochaeris radicata,Cat's-ear
Ptilidium pulcherrimum,Tree fringewort
Carex davalliana,Davall's Sedge
Pyrola media,Intermediate Wintergreen
Aulacomnium palustre,Ribbed bog moss
Ornithopus perpusillus,Little white bird's-foot
Arnoseris minima,Lamb's Succory
Carex oederi,Small-fruited Yellow-sedge
Astragalus cicer,Chick pea Milk vetch
Jacobaea paludosa,Fen Ragwort
Melampyrum cristatum,Crested Cow wheat
Falcaria vulgaris,Longleaf
Pinus mugo agg.,Pinus+mugo+agg.
Aclypea opaca,Aclypea+opaca
Pedicularis oederi,Oeder's lousewort
Leucaspius delineatus,White aspe
Juncus effusus,Common rush
Lycopodium spec.,Lycopodium+spec.
Carex praecox,Early Sedge
Lolium perenne,Perennial Rye-grass
Aphodius fimetarius,Aphodius+fimetarius
Lunaria annua,Honesty
Certhia brachydactyla,Short-toed Treecreeper
Coloeus monedula spermologus,Western Jackdaw ssp spermologus
Eupithecia tripunctaria,White-spotted Pug
Eristalis abusiva,Eristalis+abusiva
Fumaria officinalis,Common Fumitory
Elymus repens,Couch grass
Chrysotoxum verralli,Verrall's Wasp Hoverfly
Chondrilla juncea,Chondrilla
Helichrysum arenarium subsp. arenarium var. arenarium,Helichrysum+arenarium+subsp.+arenarium+var.+arenarium
Calocera viscosa,Calocera+viscosa
Cheilosia canicularis,Cheilosia+canicularis
Dryopteris cristata,Crested Buckler fern
Campanula scheuchzeri,Campanula+scheuchzeri
Pipistrellus pipistrellus,Common Pipistrelle
Spergula morisonii,Pearlwort Spurrey
Diphasiastrum tristachyum,Diphasiastrum+tristachyum
Eriophorum latifolium,Broad leaved Cottongrass
Galeopsis angustifolia,Red Hemp-nettle
Haemopis spec.,Haemopis+spec.
Cetraria islandica,True Iceland lichen
Pulsatilla vulgaris,Pasqueflower
Larus fuscus fuscus,Baltic Gull
Motacilla flava thunbergi,Grey-headed Wagtail
